,title,release_year,genres,description,channels
193,Hook,1991,"['Fantasy', 'Children']","When his young children are abducted by his old nemesis, Capt. Hook (Dustin Hoffman), middle-aged lawyer Peter Banning (Robin Williams) returns to his magical origins as Peter Pan. Peter must revisit a foggy past in which he abandoned Neverland for family life, leaving Tinkerbell (Julia Roberts) and the Lost Boys to fend for themselves. Given their bitterness toward Peter for growing up -- and their allegiance to their new leader, Rufio -- the old gang may not be happy to see him.",['558']
194,The Legend of Bagger Vance,2000,['Drama'],"During the Great Depression, Georgia socialite Adele Invergordon (Charlize Theron) announces a publicity-garnering high-stakes match at her struggling family golf course, featuring the greatest golfers of the era. Once-promising local golfer Rannulph Junuh (Matt Damon), whose career and life were derailed by World War I, is brought in to play alongside the stars, but his game is weak -- until the enigmatic Bagger Vance (Will Smith) offers to coach him back into the great golfer he once was.",['599']
195,Dark Vengeance,2011,"['Action', 'Crime drama']","Un asesino que practica la magia negra mata mujeres que se ajustan a la descripción de una nueva policía, por esa razón la usan para aprehenderlo, pero inevitablemente la ponen en peligro.",['973']
196,The Manhattan Project,1986,['Thriller'],"Ingenious adolescent Paul Stephens (Christopher Collet) learns about the grim prospects of nuclear aftermath when his mom becomes romantically involved with government scientist John Mathewson (John Lithgow), who is currently experimenting with the ingredients for atomic warfare. Shaken by what he sees, Paul decides to nab the destructive materials and make a small-scale display of their horrible powers at the New York Science Fair, but the Secret Service isn't pleased with his actions.",['538']
197,Before the Devil Knows You're Dead,2007,"['Crime drama', 'Thriller']","Andy (Philip Seymour Hoffman), a debt-ridden broker, needs some quick cash. He ropes his younger brother, Hank (Ethan Hawke), into a scheme to commit the perfect crime: to rob their parents' (Albert Finney, Rosemary Harris) jewelry store. The scheme goes horribly awry, and the family patriarch takes justice into his own hands, unaware that the criminals he is hunting are his own sons.",['534']
198,Bárbara,1969,['Drama'],Una sirvienta y el hijo de los patrones se enamoran.,['984']
199,Sophie's Choice,1982,['Drama'],"Sophie sobrevive a los campos de concentración nazis y descubre una razón para vivir con Nathan, un brillante judío americano, inestable y obsesionado por el Holocausto. Pero la felicidad de los dos es amenazada por los fantasmas del pasado de ella.",['536']
200,Sophie's Choice,1982,['Drama'],"Stingo (Peter MacNicol), a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie (Meryl Streep) and her lover Nathan (Kevin Kline), he learns that Sophie is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.",['531']
201,El señor de la Tahoe,2015,"['Thriller', 'Western']","Un hombre descubre que van a asesinar al primo y arriesga su vida para salvarlo, sin importar el precio que debe pagar. El primo, agradecido por tan noble gesto, lo invita a trabajar en su organización.",['972']
202,SCOOB!,2020,"['Comedy', 'Adventure', 'Animated', 'Children']","Con cientos de casos resueltos y aventuras compartidas, Scooby y la pandilla se enfrentan al misterio más grande y desafiante de todos los tiempos: un complot para liberar al aterrador perro fantasma Cerbero en el mundo de los vivos.",['661']
203,"Stay Away, Joe",1968,['Comedy drama'],"Having made a name for himself as a rodeo star, Joe Lightcloud (Elvis Presley) returns to his Navajo reservation with a scheme to start a cattle business that could support the entire tribe. But no sooner does he convince a congressman to donate a stud bull and a herd than his senile father, Charlie (Burgess Meredith), cooks the former, and his feckless sister, Mary (Susan Trustman), sells the latter. Joe struggles to recoup the loss while romancing a local white woman (Quentin Dean).",['064']
204,"Stay Away, Joe",1968,['Comedy drama'],"Having made a name for himself as a rodeo star, Joe Lightcloud (Elvis Presley) returns to his Navajo reservation with a scheme to start a cattle business that could support the entire tribe. But no sooner does he convince a congressman to donate a stud bull and a herd than his senile father, Charlie (Burgess Meredith), cooks the former, and his feckless sister, Mary (Susan Trustman), sells the latter. Joe struggles to recoup the loss while romancing a local white woman (Quentin Dean).",['631']
205,Miss Congeniality,2000,"['Comedy', 'Action']","When a terrorist threatens to bomb the Miss United States pageant, the FBI rushes to find a female agent to go under cover as a contestant. Unfortunately, Gracie is the only female FBI agent who can ""look the part"" despite her complete lack of refinement and femininity. She prides herself in being ""just one of the boys"" and is horrified at the idea of becoming a girly girl.",['062']
206,Miss Congeniality,2000,"['Comedy', 'Action']","When a terrorist threatens to bomb the Miss United States pageant, the FBI rushes to find a female agent to go under cover as a contestant. Unfortunately, Gracie is the only female FBI agent who can ""look the part"" despite her complete lack of refinement and femininity. She prides herself in being ""just one of the boys"" and is horrified at the idea of becoming a girly girl.",['167']
207,Slow West,2015,"['Western', 'Thriller']",A bounty hunter (Michael Fassbender) keeps his true motive a secret from the naive Scottish teenager (Kodi Smit-McPhee) he's offered to serve as bodyguard and guide while the youth searches for his beloved in 1800s Colorado.,['556']
208,Her Perfect Spouse,2004,['Thriller'],A family begins to suspect that their pregnant daughter may have been the victim of murder at the hands of her husband when she vanishes on Christmas Eve.,['076']
209,Her Perfect Spouse,2004,['Thriller'],A family begins to suspect that their pregnant daughter may have been the victim of murder at the hands of her husband when she vanishes on Christmas Eve.,['630']
210,Run of the Arrow,1957,['Western'],"Dejected by the defeat of the Confederacy, O'Meara (Rod Steiger) heads west toward Sioux territory. After surviving a test called the ""Run of the Arrow,"" he is accepted as one of the Oglala Sioux people and marries Yellow Moccasin (Sara Montiel). The couple create a family together and live contentedly until Capt. Clark (Brian Keith) arrives with a group of cavalry, hoping to build a fort nearby. O'Meara acts as a scout for the troops until their wary peace is shattered.",['1260']
211,1917,2019,"['War', 'Historical drama']","During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.",['551']
212,The Best Exotic Marigold Hotel,2011,['Comedy drama'],"Some British retirees (Judi Dench, Maggie Smith, Bill Nighy) decide to outsource their retirement to exotic -- and less expensive -- India. Lured by advertisements for the newly restored Marigold Hotel and imagining a life of leisure in lush surroundings, they arrive and find that the Marigold is actually a shell of its former self. Though their new home is not quite what they had imagined, the retirees find that life and love can begin again when they let go of their pasts.",['518']
213,The Best Exotic Marigold Hotel,2011,['Comedy drama'],"Un grupo de ancianos ingleses decide disfrutar de su jubilación en Bangalore, una exótica población de la India, pero las diferencias culturales se pondrán de manifiesto y les crearán todo tipo de problemas.",['524']
214,Big Bully,1996,['Comedy'],"David Leary (Rick Moranis) returns to Hastings, Minn., the childhood home town he was happy to escape years ago. But when David, now a writer and single father, takes a teaching position at his old school, he's a kid again, tormented by the very same bully, Fang (Tom Arnold), who made his school days a living hell. The two men instantly assume their old roles of victim and tormentor. But, when their sons start continuing the abuse, the men may finally have to grow up.",['620']
215,The Wedding Date,2005,['Romantic comedy'],"With the wedding of her younger sister (Amy Adams) fast approaching, Kat Ellis (Debra Messing) faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey (Jeremy Sheffield), the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort (Dermot Mulroney) as her date.",['515']
216,Compulsion,1959,['Crime drama'],"Sociopathic students Artie Straus (Bradford Dillman) and Judd Steiner (Dean Stockwell) murder a boy in a philosophical exercise to commit the flawless crime. Despite their precautions, one of them inadvertently left a key piece of evidence at the crime scene, and they have been arrested and put on trial. It's up to their nationally famous attorney (Orson Welles) to save these misguided souls from execution. The film is based on the infamous Leopold and Loeb case of 1924.",['083']
217,Compulsion,1959,['Crime drama'],"Sociopathic students Artie Straus (Bradford Dillman) and Judd Steiner (Dean Stockwell) murder a boy in a philosophical exercise to commit the flawless crime. Despite their precautions, one of them inadvertently left a key piece of evidence at the crime scene, and they have been arrested and put on trial. It's up to their nationally famous attorney (Orson Welles) to save these misguided souls from execution. The film is based on the infamous Leopold and Loeb case of 1924.",['632']
218,Locos de amor 2,2018,['Musical'],"Un arquitecto soltero se reencuentra con su amor de juventud, quien lo dejó para casarse con otro. Un hombre empieza a salir con una conductora que da consejos de amor en la radio. Dos amigas se enamoran del mismo hombre.",['982']
219,The Guard,2011,"['Comedy', 'Thriller']",A vulgar Irish cop (Brendan Gleeson) and a straight-laced American FBI agent (Don Cheadle) uncover police corruption among the former's superiors while probing a drug-trafficking ring.,['621']
220,Happy Gilmore,1996,['Comedy'],"All Happy Gilmore (Adam Sandler) has ever wanted is to be a professional hockey player. But he soon discovers he may actually have a talent for playing an entirely different sport: golf. When his grandmother (Frances Bay) learns she is about to lose her home, Happy joins a golf tournament to try and win enough money to buy it for her. With his powerful driving skills and foulmouthed attitude, Happy becomes an unlikely golf hero -- much to the chagrin of the well-mannered golf professionals.",['516']
221,Alpha and Omega: Journey to Bear Kingdom,2017,"['Adventure', 'Animated', 'Children']","Stinky, Runt and Claudette spring into action when rogue wolves threaten the royal bears. With courage, wits and help from their wild friends, the alpha and omega wolves rise to protect the queen and princess and save their forest home.",['521']
222,RINGSIDE,2019,['Documentary'],Filmmaker André Hörmann follows the professional and private lives of two young boxers for eight years.,['555']
223,The French Connection,1971,"['Crime drama', 'Thriller']","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler.",['605']
224,Gattaca,1997,['Science fiction'],"Vincent Freeman (Ethan Hawke) has always fantasized about traveling into outer space, but is grounded by his status as a genetically inferior ""in-valid."" He decides to fight his fate by purchasing the genes of Jerome Morrow (Jude Law), a laboratory-engineered ""valid."" He assumes Jerome's DNA identity and joins the Gattaca space program, where he falls in love with Irene (Uma Thurman). An investigation into the death of a Gattaca officer (Gore Vidal) complicates Vincent's plans.",['585']
225,Fast and Fierce: Death Race,2020,"['Action', 'Adventure']","Jack is on his way to grabbing the cash prize for an illegal car race in Mexico to California, when a desperate woman, fleeing from her gangster boyfriend who runs the tournament, jumps into his car pleading for help.",['554']
226,De-Lovely,2004,"['Musical', 'Biography', 'Drama']","At the staging of a musical production based on his life story, songwriter Cole Porter (Kevin Kline) begins to reflect on his life and career. As he trades notes with the play's director, Gabe (Jonathan Pryce), Porter recollects his meteoric rise on Broadway during the mid-1920s and his first meeting with wife and muse Linda Thomas (Ashley Judd). He also recalls his many extramarital, homosexual dalliances, and the deep depression and seclusion of his final years.",['596']
227,Treasure Buddies,2012,"['Comedy', 'Adventure', 'Children']",The buddies travel to Egypt and race against an evil cat to find a great treasure.,['514']
228,The Master of Disguise,2002,"['Comedy', 'Children']","Pistachio Disguisey (Dana Carvey), a genial waiter at his father Frabbrizio's (James Brolin) Italian restaurant, possesses an uncanny knack for mimicry. What he doesn't know is that his talent is genetic, and that he is the descendent of a long line of ""Masters of Disguise,"" all of whom have inherited the secret family gift known as Energico. Initially, Pistachio is a klutz, but little by little, he learns to harness his inherited power, and sallies forth to utilize Energico to its fullest.",['581']
229,For Love of the Game,1999,['Drama'],"Forty-year-old pitcher Billy Chapel (Kevin Costner) is practically a dinosaur by professional baseball standards, fast approaching the end of his career. But, as Chapel stands on the mound pitching the game of his life, his thoughts don't turn to his prized history in sports, but rather return again and again to his tumultuous relationship with Jane Aubrey (Kelly Preston), a single mom who has stood at his side through the good and the bad but is now on the verge of leaving him.",['582']
230,Pompeii,2014,"['Adventure', 'Action', 'Historical drama']","In 79 A.D., Pompeii, a bustling port city, stands in the shadow of Mount Vesuvius. Milo (Kit Harington), a former slave, is a gladiator who has caught the eye of Cassia (Emily Browning), a wealthy merchant's daughter. However, their difference in social status is not the only obstacle to their love; Cassia has been promised to Corvus (Kiefer Sutherland), a corrupt Roman senator. When the eruption of Mount Vesuvius rains lava and ash down on the city, Milo races to save her before it's too late.",['627']
231,Semper Fi,2019,['Thriller'],"Cal is a dedicated cop who also serves as a sergeant in the Marine Corps Reserve. When his reckless half brother lands in jail for accidentally killing a man, Cal and his buddies hatch a plan to break him out of prison -- no matter what the cost.",['572']
232,Blue Crush,2002,"['Drama', 'Romance']","Nothing gets between Anne Marie (Kate Bosworth) and her board. Living in a beach shack with three roommates including her rebellious younger sister, she is up before dawn every morning to conquer the waves and count the days until the Rip Masters surf competition. Anne Marie finds all she needs in the adrenaline-charged surf scene ... until pro quarterback Matt Tollman (Matthew Davis) comes along. Like it or not, Anne Marie starts losing her balance - and finding it - as she falls for Matt.",['512']
233,Armed and Dangerous,1986,['Comedy'],"A police officer who has been wrongly dismissed from his job, Frank Dooley (John Candy) finds work as a security guard, along with Norman Kane (Eugene Levy), an inept lawyer. Unfortunately, the company that employs Frank and Norman is involved in some shady dealings, and it's up to the bumbling guards to foil the plans of the corrupt leaders, most notably tough mobster Michael Carlino (Robert Loggia), who isn't happy to have his profitable scheme threatened.",['640']
234,We Die Young,2019,"['Action', 'Thriller']",A war veteran tries to help a boy and his younger brother when they get mixed up with a vicious drug lord and his gang.,['597']
235,The Sessions,2012,"['Comedy drama', 'Biography']","Though a childhood bout with polio left him dependent on an iron lung, Mark O'Brien (John Hawkes) maintains a career as a journalist and poet. A writing assignment dealing with sex and the disabled piques Mark's curiosity, and he decides to investigate the possibility of experiencing sex himself. When his overtures toward a caregiver (Annika Marks) scare her away, he books an appointment with sex surrogate Cheryl Cohen Green (Helen Hunt) to lose his virginity.",['535']
236,Paint Your Wagon,1969,"['Musical comedy', 'Western']","In this musical based on the Broadway show, Ben Rumson (Lee Marvin) happens upon a wrecked wagon containing a dead man and his surviving brother, Pardner (Clint Eastwood), in the wilds of California during the Gold Rush. At the burial, they discover gold dust and stake a claim. Soon a mining camp dubbed ""No Name City"" emerges, rife with lonely men starved for female companionship. When a polygamist Mormon arrives looking to sell off a wife (Jean Seberg), a bidding war commences.",['607']
237,Sparkle,2012,"['Drama', 'Musical']","In 1968, girl groups and the Motown sound are sweeping the nation. Despite their mother's (Whitney Houston) misgivings, talented sisters Delores (Tika Sumpter), Sister (Carmen Ejogo) and Sparkle (Jordin Sparks) are taking Detroit by storm, and their dreams are even bigger. Their ambitious manager (Derek Luke) will do whatever it takes to make the big time, even if it means exploiting the sisters -- and his love for Sparkle -- for the foundation of a new musical empire.",['604']
238,Santo contra los jinetes del terror,1970,['Action'],Santo se enfrenta a un villano que utiliza a un grupo de leprosos para aterrorizar a un pueblo.,['985']
239,Slaughterhouse Rulez,2018,"['Comedy', 'Horror']",A British boarding school turns into a battleground when unspeakable horrors emerge from the ground.,['609']
240,Strange Magic,2015,"['Musical comedy', 'Fantasy', 'Animated', 'Children']","Bog King (Alan Cumming) leader of the Dark Forest, hates the notion of love and has ordered the destruction of all primroses, which are an essential ingredient of love potions. However, when he meets Marianne (Evan Rachel Wood), a feisty fairy princess whose heart was broken by a philandering fiance, he begins to change his mind. Meanwhile, an elf named Sunny (Elijah Kelley) makes his way to the Dark Forest to collect enough primrose petals for a potion of his own.",['584']
241,A Handful of Dust,1988,['Drama'],"English aristocrat Tony Last (James Wilby) welcomes tragedy into his life when he invites John Beaver (Rupert Graves) to visit his vast estate. There Beaver makes the acquaintance of Tony's wife, Brenda (Kristin Scott Thomas). Together, they continue their relationship in a series of bedroom assignations in London. Trusting to a fault, Tony is unaware that anything is amiss until his wife suddenly asks for a divorce. With his life in turmoil, Tony goes on a haphazard journey to South America.",['537']
242,Shazam!,2019,"['Action', 'Adventure', 'Comedy', 'Fantasy']","We all have a superhero inside of us -- it just takes a bit of magic to bring it out. In 14-year-old Billy Batson's case, all he needs to do is shout out one word to transform into the adult superhero Shazam. Still a kid at heart, Shazam revels in the new version of himself by doing what any other teen would do -- have fun while testing out his newfound powers. But he'll need to master them quickly before the evil Dr. Thaddeus Sivana can get his hands on Shazam's magical abilities.",['519']
243,Viaje redondo,2009,['Drama'],"Fer y Lucía se encuentran casualmente en un paradero de autobuses. Las circunstancias las obligan a convivir y pasar dos noches juntas en un paisaje que les es por completo ajeno, confrontando sus realidades, sus deseos y sus sueños.",['971']
244,Los enredos de una gallega,1951,['Comedy'],"Una mujer desea poner una fonda pero no tiene dinero, le sale un boleto de la lotería premiado y lo extravía.",['979']
245,Halwa,2018,['Drama'],"A woman rekindles her relationship with a childhood sweetheart through Facebook messages, but her abusive husband takes notice.",['523']
246,The Marine 2,2009,"['Action', 'Thriller']",A Marine sniper (Ted DiBiase) must save his wife (Lara Cox) and other hostages when rebels seize a luxury resort.,['603']
247,Be Cool,2005,['Comedy'],"Having made the transition from gangster to movie producer, Chili Palmer (John Travolta) is ready for the next big move. Setting his sights on the music industry, Palmer enters a precarious business that has more than just temperamental musicians: Russian mobsters, rival producers and hit men are out to bring him down. From witnessing the murder of his friend (James Woods) to romancing a music executive's widow (Uma Thurman), it seems as though it might all fall apart, but Palmer has his ways.",['532']
248,Wheely,2018,"['Comedy', 'Adventure', 'Animated', 'Children']","In a world where cars are citizens, an underdog cabbie named Wheely tries to become king of the road of Gasket City.",['608']
249,Are We There Yet?,2005,"['Comedy', 'Children']","Attempting to win the favor of the newly divorced Suzanne (Nia Long), Nick (Ice Cube) offers to accompany her children, Lindsey (Aleisha Allen) and Kevin (Philip Bolden), on a flight from Portland, Ore., to Canada to see their mother. A mishap with a corkscrew and a metal detector gets the troupe banned from the flight, however, so Nick is forced to drive the kids in his prized Lincoln Navigator. Tensions inevitably rise during the long road trip, but Nick is not to be deterred.",['586']
250,The Kid,2019,"['Western', 'Drama']","In 1879 Rio and his teenage sister go on the run across the American Southwest to escape from their violent uncle. Along the way, Rio encounters the infamous outlaw Billy the Kid and the legendary lawman Pat Garrett. He soon finds himself caught in the crossfire as Billy and Garrett find themselves playing a deadly game of cat and mouse.",['595']
251,Batman Forever,1995,"['Action', 'Adventure', 'Fantasy']","Batman (Val Kilmer) faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face (Tommy Lee Jones), and the Riddler (Jim Carrey), a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also deals with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian (Nicole Kidman).",['552']
252,Phineas and Ferb: The Movie: Across the 2nd Dimension,2011,"['Comedy', 'Adventure', 'Animated', 'Children']","Along with their pet platypus (Dee Bradley Baker), stepbrothers Phineas (Vincent Martella) and Ferb battle evil Dr. Doofenshmirtz.",['925']
253,Dhan Daulat,1980,"['Drama', 'Romance']","A man is forced by his parents to end a relationship, unaware that his lover is pregnant. Years later, when the father and son meet, they are unaware of each other's identities.",['1532']
254,Die Another Day,2002,"['Action', 'Adventure']","James Bond (Pierce Brosnan) is captured by North Korean agents and must serve a grueling prison sentence. He's finally released, and is convinced that someone in his own agency betrayed him. He escapes from custody and travels to Cuba, hot on the heels of Zao (Rick Yune), the agent who put Bond behind bars. Meanwhile, Bond begins romancing NSA agent Jinx (Halle Berry) as he uncovers a scheme concocted by Zao and British millionaire Graves (Toby Stephens), involving a highly destructive laser.",['553']
255,Love and Death,1975,['Comedy'],"In Woody Allen's comic take on 19th-century Russian philosophical novels and the Soviet-era epic films made from them, Boris (Woody Allen) is a simple Russian villager who pines from afar for his beautiful cousin Sonja (Diane Keaton). Forced against his will into joining the Russian army during the Napoleonic Wars, the cowardly Boris accidentally becomes a military hero. But when his beloved Sonja comes to him with a dangerous patriotic scheme, Boris debates his desires and beliefs.",['540']
256,Last Christmas,2019,"['Romantic comedy', 'Holiday']","Nothing seems to go right for young Kate, a frustrated Londoner who works as an elf in a year-round Christmas shop. But things soon take a turn for the better when she meets Tom -- a handsome charmer who seems too good to be true. As the city transforms into the most wonderful time of the year, Tom and Kate's growing attraction turns into the best gift of all -- a Yuletide romance.",['520']
257,Phineas and Ferb: The Movie: Across the 2nd Dimension,2011,"['Comedy', 'Adventure', 'Animated', 'Children']","Along with their pet platypus (Dee Bradley Baker), stepbrothers Phineas (Vincent Martella) and Ferb battle evil Dr. Doofenshmirtz.",['092']
258,Phineas and Ferb: The Movie: Across the 2nd Dimension,2011,"['Comedy', 'Adventure', 'Animated', 'Children']","Along with their pet platypus (Dee Bradley Baker), stepbrothers Phineas (Vincent Martella) and Ferb battle evil Dr. Doofenshmirtz.",['265']
259,Project X,1987,['Comedy drama'],"As punishment for a minor offense, the Air Force assigns pilot Jimmy Garrett (Matthew Broderick) to watch over a group of chimpanzees used for military experiments. Jimmy bonds with Virgil, a chimp capable of communicating with sign language. But when he witnesses the military's plan to kill the animals with radiation, Jimmy enlists the help of Teri MacDonald (Helen Hunt), the graduate student responsible for teaching sign language to Virgil, to free the chimps.",['541']
260,Sebastian,2014,['Drama'],"A man returns to his hometown to take care of his ailing mother. While there, he struggles to come to terms with his past and the closed-minded people surrounding him.",['1849']
261,The Best Little Whorehouse in Texas,1982,['Musical comedy'],"Miss Mona (Dolly Parton) runs the Chicken Ranch, a brothel with a long history in a small Texas town. The locals have a good relationship with the institution, and Mona is respected in the community. The sheriff, Ed Earl Dodd (Burt Reynolds), also looks out for the Chicken Ranch due to his past with Miss Mona. However, when pious reporter Melvin Thorpe (Dom DeLuise) exposes the brothel, outside interests want it shut down, putting the governor (Charles Durning) in a tough spot.",['571']
262,El Ametralladora,1943,['Drama'],"Pese a su juramento de no volver a empuñar un arma, un hombre está decidido a cumplir con una venganza.",['980']
263,Mrs. Doubtfire,1993,"['Comedy', 'Children']","Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help from his creative brother Frank (Harvey Fierstein), he dresses as an older British woman and convinces his ex-wife, Miranda (Sally Field), to hire him as a nanny. ""Mrs. Doubtfire"" wins over the children and helps Daniel become a better parent -- but when both Daniel and his nanny persona must meet different parties at the same restaurant, his secrets may be exposed.",['511']
264,La mansión de las siete momias,1977,['Drama'],Una joven deberá escapar de siete momias que quieren matarla porque un ancestro suyo rompió un pacto con Satanás.,['890']
265,Kiss the Girls,1997,"['Mystery', 'Thriller']","Successful forensic psychologist Alex Cross (Morgan Freeman) discovers that his niece has gone missing. Once he consults with police Detective Nick Ruskin (Cary Elwes), Cross believes that the disappearance is the work of an insane killer known as ""Casanova."" Meanwhile, Dr. Kate McTiernan (Ashley Judd) is kidnapped by this criminal and witnesses many other imprisoned women in his lair. After narrowly escaping, McTiernan teams up with Cross to try to apprehend the deranged Casanova.",['598']
266,Jagged Edge,1985,['Crime drama'],"Lawyer Teddy Barnes reluctantly takes up the case of publisher Jack Forrester, who is accused of murdering his wife for her money. As the trial develops, she is kept guessing right to the very last minute as to whether Jack is an innocent man or a cunning, manipulative murderer.",['622']
267,Red Tails,2012,"['Historical drama', 'War']","During World War II, the Civil Aeronautics Authority selects 13 black cadets to become part of an experimental program at the Tuskegee Institute in Alabama. The program aims at training ""colored personnel"" to become fighter pilots for the Army. However, discrimination, lack of institutional support and the racist belief that these men lacked the intelligence and aptitude for the job dog their every step. Despite this, the Tuskegee Airmen, as they become known, more than prove their worth.",['523']
268,Bless the Child,2000,['Thriller'],"When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis, takes up her cause when he realizes that Cody shares the same birth date as several other recently missing children.",['542']
269,The 'Burbs,1989,['Comedy'],"Settling in for some time off in his suburban home, Ray Peterson's (Tom Hanks) vacation becomes a horror when the Klopeks, a suspiciously odd family, move in down the block. Enlisting the aid of his paranoid buddy, Art (Rick Ducommun), and his militia-man neighbor, Rumsfield (Bruce Dern), Ray sends his son and wife (Carrie Fisher) away on a trip while he investigates the Klopeks. When a neighbor disappears, Ray and his cohorts risk their lives to save their cul-de-sac from the clutches of evil.",['623']
270,Unthinkable,2010,"['Drama', 'Thriller']","FBI Agent Helen Brody (Carrie-Anne Moss) races to discover the location of three nuclear bombs, each programmed to detonate in a different city. When authorities arrest terrorist suspect Younger (Michael Sheen), who announced the murderous plot in a video, special operative Harold Humphries (Samuel L. Jackson) joins Brody in the interrogation. He takes escalating measures to extract answers from Younger, but Younger clams up. Brody begins to question their brutal methods as time ticks away.",['606']
271,Being John Malkovich,1999,['Comedy'],"In this quirky cult-favorite comedy, unemployed New York City puppeteer Craig Schwartz (John Cusack) reluctantly takes a temp job as a filing clerk for the eccentric Dr. Lester (Orson Bean). While at work, Craig discovers a portal that leads into the mind of renowned actor John Malkovich. When he lets his attractive co-worker Maxine (Catherine Keener) in on the secret, they begin both an unusual business scheme and an odd relationship that involves Craig's restless wife, Lotte (Cameron Diaz).",['557']
272,Blumhouse's Fantasy Island,2020,"['Horror', 'Thriller']","The enigmatic Mr. Roarke makes the secret dreams of his guests come true at a luxurious tropical resort. But when the fantasies turn into nightmares, the visitors must soon solve the island's mystery in order to escape with their lives.",['583']
273,Mrs. Doubtfire,1993,"['Comedy', 'Children']","Luego de divorciarse, un actor sin trabajo se disfraza de niñera anciana para pasar más tiempo con su familia.",['517']
274,Just My Luck,2006,['Romantic comedy'],"As the luckiest woman in the world, Ashley (Lindsay Lohan) has a wonderful life, which all changes after she kisses a stranger (Chris Pine) at a costume party. She sees everything turn into a living hell, as she realizes that she has unwittingly exchanged her good fortune for the stranger's bad luck.",['522']
275,Leviatán: El juego de la muerte,2018,['Horror'],Ocho amigos y un juego maldito en el que todas las almas de los participantes deberán ser ofrecidas. Enfrentarán a sus peores fantasmas y demonios personales. Solo una persona justa y honesta podrá salir bien librada de esta siniestra partida.,['983']
276,The War Between Men and Women,1972,['Comedy'],"A Thurberesque New Yorker (Jack Lemmon) going blind acquires a wife (Barbara Harris), three children, a dog and a drinking partner (Jason Robards).",['1248']
277,Almost Heroes,1998,['Comedy'],"Two explorers are racing Lewis and Clark to the Pacific Ocean in 1804. Edwards (Matthew Perry) is a glory-seeking fop who's out of his league, Hunt (Chris Farley) is a slovenly, clumsy tracker with a soft spot for toilet humor. Along with a team of misfits and losers, the duo wreaks havoc on the American frontier.",['539']
278,Slender Man,2018,"['Horror', 'Thriller']","Small-town best friends Hallie, Chloe, Wren and Katie go online to try and conjure up the Slender Man -- a tall, thin, horrifying figure whose face has no discernible features. Two weeks later, Katie mysteriously disappears during a class trip to a historic graveyard. Determined to find her, the girls soon suspect that the legend of the Slender Man may be all too real.",['068']
279,Slender Man,2018,"['Horror', 'Thriller']","Small-town best friends Hallie, Chloe, Wren and Katie go online to try and conjure up the Slender Man -- a tall, thin, horrifying figure whose face has no discernible features. Two weeks later, Katie mysteriously disappears during a class trip to a historic graveyard. Determined to find her, the girls soon suspect that the legend of the Slender Man may be all too real.",['108']
280,She's All That,1999,['Romantic comedy'],"High school hotshot Zach Siler (Freddie Prinze Jr.) is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor (Jodi Lyn O'Keefe), leaves him for sleazy reality-television star Brock Hudson (Matthew Lillard). Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs (Rachael Leigh Cook) -- and help her to become the school's next prom queen.",['556']
281,Aftermath,2017,"['Thriller', 'Drama']",Two strangers' lives become inextricably bound together after an error by an air traffic controller (Scoot McNairy) causes the death of a construction foreman's (Arnold Schwarzenegger) wife and daughter.,['063']
282,Aftermath,2017,"['Thriller', 'Drama']",Two strangers' lives become inextricably bound together after an error by an air traffic controller (Scoot McNairy) causes the death of a construction foreman's (Arnold Schwarzenegger) wife and daughter.,['105']
283,Frozen,2010,"['Thriller', 'Horror']",Una tormenta invernal se acerca y tres personas están atrapadas en una aerosilla cuando la estación de esquí cierra por la noche.,['1285']
